scenario_id,event_id,timestamp,profile_id,tau_E_hours,baseline_state,variant_state,state_changed,previous_variant_state,clock_safeguard_triggered,rationale
rapid_pivot,EVT-RP-002H,2026-12-01T10:00:00Z,clock_14h,14.0,Prepare,Prepare,False,,False,Uncertainty is high while exploitation evidence or impact meets its threshold.
rapid_pivot,EVT-RP-012H,2026-12-01T20:00:00Z,clock_14h,14.0,Prepare,Prepare,False,Prepare,False,Uncertainty is high while exploitation evidence or impact meets its threshold.
rapid_pivot,EVT-RP-018H,2026-12-02T02:00:00Z,clock_14h,14.0,Escalate,Escalate,False,Prepare,True,"The case remained in Prepare until delta_t=18h, meeting the internal 14h safeguard."
rapid_pivot,EVT-RP-020H,2026-12-02T04:00:00Z,clock_14h,14.0,Report-Ready,Report-Ready,False,Escalate,False,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
rapid_pivot,EVT-RP-022H,2026-12-02T06:00:00Z,clock_14h,14.0,Report-Ready,Report-Ready,False,Report-Ready,False,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
rapid_pivot,EVT-RP-072H,2026-12-04T08:00:00Z,clock_14h,14.0,Report-Ready,Report-Ready,False,Report-Ready,False,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
rapid_pivot,EVT-RP-002H,2026-12-01T10:00:00Z,clock_16h,16.0,Prepare,Prepare,False,,False,Uncertainty is high while exploitation evidence or impact meets its threshold.
rapid_pivot,EVT-RP-012H,2026-12-01T20:00:00Z,clock_16h,16.0,Prepare,Prepare,False,Prepare,False,Uncertainty is high while exploitation evidence or impact meets its threshold.
rapid_pivot,EVT-RP-018H,2026-12-02T02:00:00Z,clock_16h,16.0,Escalate,Escalate,False,Prepare,True,"The case remained in Prepare until delta_t=18h, meeting the internal 16h safeguard."
rapid_pivot,EVT-RP-020H,2026-12-02T04:00:00Z,clock_16h,16.0,Report-Ready,Report-Ready,False,Escalate,False,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
rapid_pivot,EVT-RP-022H,2026-12-02T06:00:00Z,clock_16h,16.0,Report-Ready,Report-Ready,False,Report-Ready,False,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
rapid_pivot,EVT-RP-072H,2026-12-04T08:00:00Z,clock_16h,16.0,Report-Ready,Report-Ready,False,Report-Ready,False,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
rapid_pivot,EVT-RP-002H,2026-12-01T10:00:00Z,clock_18h_baseline,18.0,Prepare,Prepare,False,,False,Uncertainty is high while exploitation evidence or impact meets its threshold.
rapid_pivot,EVT-RP-012H,2026-12-01T20:00:00Z,clock_18h_baseline,18.0,Prepare,Prepare,False,Prepare,False,Uncertainty is high while exploitation evidence or impact meets its threshold.
rapid_pivot,EVT-RP-018H,2026-12-02T02:00:00Z,clock_18h_baseline,18.0,Escalate,Escalate,False,Prepare,True,"The case remained in Prepare until delta_t=18h, meeting the internal 18h safeguard."
rapid_pivot,EVT-RP-020H,2026-12-02T04:00:00Z,clock_18h_baseline,18.0,Report-Ready,Report-Ready,False,Escalate,False,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
rapid_pivot,EVT-RP-022H,2026-12-02T06:00:00Z,clock_18h_baseline,18.0,Report-Ready,Report-Ready,False,Report-Ready,False,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
rapid_pivot,EVT-RP-072H,2026-12-04T08:00:00Z,clock_18h_baseline,18.0,Report-Ready,Report-Ready,False,Report-Ready,False,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
rapid_pivot,EVT-RP-002H,2026-12-01T10:00:00Z,clock_20h,20.0,Prepare,Prepare,False,,False,Uncertainty is high while exploitation evidence or impact meets its threshold.
rapid_pivot,EVT-RP-012H,2026-12-01T20:00:00Z,clock_20h,20.0,Prepare,Prepare,False,Prepare,False,Uncertainty is high while exploitation evidence or impact meets its threshold.
rapid_pivot,EVT-RP-018H,2026-12-02T02:00:00Z,clock_20h,20.0,Escalate,Prepare,True,Prepare,False,Uncertainty is high while exploitation evidence or impact meets its threshold.
rapid_pivot,EVT-RP-020H,2026-12-02T04:00:00Z,clock_20h,20.0,Report-Ready,Escalate,True,Prepare,True,"The case remained in Prepare until delta_t=20h, meeting the internal 20h safeguard."
rapid_pivot,EVT-RP-022H,2026-12-02T06:00:00Z,clock_20h,20.0,Report-Ready,Report-Ready,False,Escalate,False,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
rapid_pivot,EVT-RP-072H,2026-12-04T08:00:00Z,clock_20h,20.0,Report-Ready,Report-Ready,False,Report-Ready,False,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
rapid_pivot,EVT-RP-002H,2026-12-01T10:00:00Z,clock_22h,22.0,Prepare,Prepare,False,,False,Uncertainty is high while exploitation evidence or impact meets its threshold.
rapid_pivot,EVT-RP-012H,2026-12-01T20:00:00Z,clock_22h,22.0,Prepare,Prepare,False,Prepare,False,Uncertainty is high while exploitation evidence or impact meets its threshold.
rapid_pivot,EVT-RP-018H,2026-12-02T02:00:00Z,clock_22h,22.0,Escalate,Prepare,True,Prepare,False,Uncertainty is high while exploitation evidence or impact meets its threshold.
rapid_pivot,EVT-RP-020H,2026-12-02T04:00:00Z,clock_22h,22.0,Report-Ready,Report-Ready,False,Prepare,False,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
rapid_pivot,EVT-RP-022H,2026-12-02T06:00:00Z,clock_22h,22.0,Report-Ready,Report-Ready,False,Report-Ready,False,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
rapid_pivot,EVT-RP-072H,2026-12-04T08:00:00Z,clock_22h,22.0,Report-Ready,Report-Ready,False,Report-Ready,False,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
rapid_pivot_control,EVT-RPC-002H,2026-12-01T10:00:00Z,clock_14h,14.0,Prepare,Prepare,False,,False,Uncertainty is high while exploitation evidence or impact meets its threshold.
rapid_pivot_control,EVT-RPC-012H,2026-12-01T20:00:00Z,clock_14h,14.0,Report-Ready,Report-Ready,False,Prepare,False,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
rapid_pivot_control,EVT-RPC-018H,2026-12-02T02:00:00Z,clock_14h,14.0,Report-Ready,Report-Ready,False,Report-Ready,False,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
rapid_pivot_control,EVT-RPC-020H,2026-12-02T04:00:00Z,clock_14h,14.0,Report-Ready,Report-Ready,False,Report-Ready,False,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
rapid_pivot_control,EVT-RPC-022H,2026-12-02T06:00:00Z,clock_14h,14.0,Report-Ready,Report-Ready,False,Report-Ready,False,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
rapid_pivot_control,EVT-RPC-072H,2026-12-04T08:00:00Z,clock_14h,14.0,Report-Ready,Report-Ready,False,Report-Ready,False,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
